Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Charmender,1,1,1,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency White,117,121,134,0,372,360,12,W,6,4,R,
(1-2),0,0,2,4,6,,,,,,,
(2-1),2,2,0,0,4,,,,,,,
George Arvo Mark Toad,127,123,110,0,360,372,-12,L,4,6,R,
Ryan,35,47,36,118,1,,,,,,,
Eric,36,32,16,84,5,,,,,,,
Logan,33,14,28,75,6,,,,,,,
Mark,20,27,27,74,7,,,,,,,
Gerogio,3,3,3,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/2022,GAMT,10,By,0,144,,,,,,,
GAMT v. By (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
ryannnn,42,53,46,141,1,,,,,,,
GAMT Logan,35,27,37,99,2,,,,,,,
GAMT Marky,24,36,24,84,3,,,,,,,
GAMT Eric,29,15,22,66,5,,,,,,,
Gerogio,0,1,3,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
George Arvo Mark Toad,130,132,132,0,394,250,144,W,10,0,R,
(3-1),2,2,2,4,10,,,,,,,
(2-1),0,0,0,0,0,,,,,,,
Brutality,70,68,112,0,250,394,-144,L,0,10,R,
Fire,15,26,26,67,4,,,,,,,
Declan,23,14,25,62,6,,,,,,,
jck,7,18,36,61,7,,,,,,,
latitude,25,10,1,36,8,,,,,,,
Nuke,0,0,24,24,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/2022,ST,9,bz,1,102,,,,,,,
ST v. bz (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
ayanami,45,45,37,127,1,,,,,,,
JorgeST,37,32,41,110,2,,,,,,,
Saru,28,37,24,89,4,,,,,,,
Agger,24,43,17,84,5,,,,,,,
Kyu,3,1,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Shadow Team,137,158,122,0,417,315,102,W,9,1,R,
(3-0),2,2,1,4,9,,,,,,,
(2-1),0,0,1,0,1,,,,,,,
Ici Ca Bz,107,86,122,0,315,417,-102,L,1,9,R,
Gisko,33,23,45,101,3,,,,,,,
Mat,21,17,39,77,6,,,,,,,
Demon,39,18,17,74,7,,,,,,,
Cobra,13,25,20,58,8,,,,,,,
Lxddz,1,3,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/2022,TNG,10,G4L,0,100,,,,,,,
TNG v. G4L (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
chaos,52,52,36,140,1,,,,,,,
Dino,33,15,49,97,2,,,,,,,
Rey,24,29,38,91,4,,,,,,,
brisk,23,30,28,81,6,,,,,,,
andreese,2,1,4,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
The Nice Guys,134,127,155,0,416,316,100,W,10,0,R,
(1-2),2,2,2,4,10,,,,,,,
(1-3),0,0,0,0,0,,,,,,,
Geek for Life,110,117,89,0,316,416,-100,L,0,10,R,
JordanFR,39,30,23,92,3,,,,,,,
VicZ,25,33,32,90,5,,,,,,,
Lukas,22,27,17,66,7,,,,,,,
Froej,22,24,17,63,8,,,,,,,
DemonMK,2,3,0,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/25/2022,bz,10,G4L,0,98,,,,,,,
bz v. G4L (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Shiv,40,39,36,115,1,,,,,,,
Gisko,30,40,38,108,2,,,,,,,
Shark,28,34,38,100,4,,,,,,,
Hakim,39,22,23,84,6,,,,,,,
Lxddz,4,2,2,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Ici Ca Bz,141,137,137,0,415,317,98,W,10,0,R,
(3-1),2,2,2,4,10,,,,,,,
(1-4),0,0,0,0,0,,,,,,,
Geek for Life,103,107,107,0,317,415,-98,L,0,10,R,
JordanFR,47,19,35,101,3,,,,,,,
VicZ,20,34,34,88,5,,,,,,,
DemonMK,21,20,26,67,7,,,,,,,
Lukas,15,32,10,57,8,,,,,,,
FK Yazid,0,2,2,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/25/2022,Cy,10,G4L,0,52,,,,,,,
Cy v. G4L (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Klover,37,41,37,115,2,,,,,,,
DanUK,45,24,24,93,3,,,,,,,
Klyde,18,29,45,92,4,,,,,,,
HenryUS,26,30,30,86,5,,,,,,,
Charmender,1,2,3,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency White,127,126,139,0,392,340,52,W,10,0,R,
(2-2),2,2,2,4,10,,,,,,,
(1-5),0,0,0,0,0,,,,,,,
Geek for Life,117,118,105,0,340,392,-52,L,0,10,R,
JordanFR,46,43,40,129,1,,,,,,,
Lukas,21,23,28,72,6,,,,,,,
Froej,26,24,18,68,7,,,,,,,
VicZ,21,26,18,65,8,,,,,,,
DemonMK,3,2,1,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/27/2022,By,6,bz,4,12,,,,,,,
By v. bz (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
jck,43,34,34,111,2,,,,,,,
Declan,34,26,34,94,3,,,,,,,
Fire,37,36,19,92,4,,,,,,,
Nuke,18,22,23,63,7,,,,,,,
