Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Long Shaft University,108,125,121,0,354,378,-24,L,2,8,R,
brody,34,41,48,123,1,,,,,,,
Rerim,40,24,30,94,5,,,,,,,
Trippy,19,41,11,71,7,,,,,,,
sam,12,18,31,61,8,,,,,,,
sully,3,1,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,B,6,MV,4,6,,,,,,,
B vs MV (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Hyp,43,36,39,118,1,,,,,,,
Yasuo,20,37,45,102,3,,,,,,,
Rise,26,33,22,81,6,,,,,,,
sukay,27,14,24,65,7,,,,,,,
Kapera,0,1,2,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk,116,121,132,0,369,363,6,W,6,4,R,
(6-2),0,0,2,4,6,,,,,,,
(5-4),2,2,0,0,4,,,,,,,
Megavolt,128,123,112,0,363,369,-6,L,4,6,R,
64,29,38,46,113,2,,,,,,,
Az,24,40,25,89,4,,,,,,,
Jorge,41,26,21,88,5,,,,,,,
yax,30,16,18,64,8,,,,,,,
Jaggy,4,3,2,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,Ap,6,EXO,4,26,,,,,,,
Ap vs EXO (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Beat,37,41,35,113,2,,,,,,,
Batcake,40,35,28,103,3,,,,,,,
MGB,25,45,25,95,4,,,,,,,
Slidair,16,22,26,64,8,,,,,,,
Smoke,2,1,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Apocalypse,120,144,115,0,379,353,26,W,6,4,R,
(6-1),0,2,0,4,6,,,,,,,
(4-5),2,0,2,0,4,,,,,,,
Explorers of Time,124,100,129,0,353,379,-26,L,4,6,R,
Maxx,52,24,48,124,1,,,,,,,
Zane,24,27,33,84,5,,,,,,,
Arti,27,14,30,71,6,,,,,,,
Ethan,19,32,15,66,7,,,,,,,
KOna,2,3,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/14/22,Ap,7,LV,3,4,,,,,,,
Ap vs LV (7-3),GP1,GP2,GP3,Total,Place,,,,,,,
Batcake,36,37,41,114,1,,,,,,,
MGB,42,40,14,96,4,,,,,,,
Beat,28,25,33,86,5,,,,,,,
Slidair,14,23,30,67,8,,,,,,,
Smoke,2,1,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Apocalypse,122,126,120,0,368,364,4,W,7,3,R,
(7-1),1,2,0,4,7,,,,,,,
(2-1-6),1,0,2,0,3,,,,,,,
Lethal Vengeance,122,118,124,0,364,368,-4,L,3,7,R,
Ivan,39,36,30,105,2,,,,,,,
derek,34,37,28,99,3,,,,,,,
stripe,32,19,32,83,6,,,,,,,
Stubbz,15,23,32,70,7,,,,,,,
zach,2,3,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/14/22,Ap,10,HEX,0,94,,,,,,,
Ap vs HEX (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Batcake,54,32,39,125,1,,,,,,,
Beat,29,41,36,106,2,,,,,,,
MGB,26,35,33,94,4,,,,,,,
Slidair,36,32,14,82,5,,,,,,,
Smoke,2,2,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Apocalypse,147,142,124,0,413,319,94,W,10,0,R,
(8-1),2,2,2,4,10,,,,,,,
(3-1-6),0,0,0,0,0,,,,,,,
Curse,97,102,120,0,319,413,-94,L,0,10,R,
Kazam,41,25,37,103,3,,,,,,,
Toto,25,30,20,75,6,,,,,,,
Zoan,16,28,30,74,7,,,,,,,
Night,13,17,31,61,8,,,,,,,
Shaka,2,2,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,B,10,Ap,0,95,,,,,,,
B vs Ap (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Yasuo,49,45,30,124,1,,,,,,,
sukay,18,42,29,89,2,,,,,,,
Hyp,32,38,17,87,3,,,,,,,
Kapera,40,23,15,78,5,,,,,,,
Finite,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Berserk,141,150,92,0,383,288,95,W,10,0,R,
(7-2),2,2,2,4,10,,,,,,,
(8-2),0,0,0,0,0,,,,,,,
Apocalypse,103,94,91,0,288,383,-95,L,0,10,R,
MGB,30,27,23,80,4,,,,,,,
Slidair,28,24,26,78,5,,,,,,,
Batcake,12,20,29,61,7,,,,,,,
Boodog9,31,19,7,57,8,,,,,,,
Smoke,2,4,6,12,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,[L],10,EXO,0,177,,,,,,,
[L] vs EXO (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Macy,38,54,30,122,1,,,,,,,
Jed,33,40,36,109,2,,,,,,,
Beulah,42,28,39,109,2,,,,,,,
Iris,24,30,18,72,4,,,,,,,
Maxi,2,1,37,40,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Lightspeed Kitty Cats,139,153,160,0,452,275,177,W,10,0,R,
(3-7),2,2,2,4,10,,,,,,,
(4-6),0,0,0,0,0,,,,,,,
Explorers of Time,105,91,84,-5,275,452,-177,L,0,10,R,
Yoshter,21,23,26,70,5,,,,,,,
Solo,23,30,15,68,6,,,,,,,
Zane,26,13,21,60,7,,,,,,,
Arti,20,15,22,57,8,,,,,,,
Orange,15,10,0,25,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/20/22,LSU,6,LV,4,18,,,,,,,
LSU vs LV (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
zap,40,35,25,100,2,,,,,,,
Rerim,30,36,33,99,3,,,,,,,
brody,21,32,39,92,5,,,,,,,
Trippy,28,29,24,81,6,,,,,,,
sam,3,2,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Long Shaft University,122,134,124,-10,370,352,18,W,6,4,R,
(5-3),0,2,0,4,6,,,,,,,
(2-1-7),2,0,2,0,4,,,,,,,
Lethal Vengeance,122,110,120,0,352,370,-18,L,4,6,R,
hib,33,43,31,107,1,,,,,,,
stripe,26,34,39,99,3,,,,,,,
Ivan,43,14,17,74,7,,,,,,,
acaide,19,17,32,68,8,,,,,,,
Zale,1,2,1,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/26/22,LSU,8,MV,2,24,,,,,,,
LSU vs MV (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
sam,46,42,34,122,1,,,,,,,
brody,45,53,20,118,2,,,,,,,
zap,18,24,26,68,7,,,,,,,
Rerim,32,14,18,64,8,,,,,,,
sully,2,0,0,2,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Long Shaft University,143,133,98,0,374,350,24,W,8,2,R,
(6-3),2,2,0,4,8,,,,,,,
(5-5),0,0,2,0,2,,,,,,,
Megavolt,101,111,138,0,350,374,-24,L,2,8,R,
Az,28,35,53,116,3,,,,,,,
yax,30,32,18,80,4,,,,,,,
64,21,12,38,71,5,,,,,,,
Jorge,20,28,22,70,6,,,,,,,
Jaggy,2,4,7,13,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/27/22,LSU,8,B,2,20,,,,,,,
LSU vs B (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
brody,40,29,31,100,2,,,,,,,
Rerim,19,45,26,90,4,,,,,,,
zap,37,25,27,89,5,,,,,,,
Trippy,25,35,27,87,6,,,,,,,
sam,2,4,4,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Long Shaft University,123,138,115,0,376,356,20,W,8,2,R,
(7-3),2,2,0,4,8,,,,,,,
(7-3),0,0,2,0,2,,,,,,,
Berserk,121,106,129,0,356,376,-20,L,2,8,R,
Yasuo,33,24,51,108,1,,,,,,,
Hyp,29,36,33,98,3,,,,,,,
sukay,25,24,27,76,7,,,,,,,
Kapera,32,22,18,72,8,,,,,,,
Finite,2,0,0,2,10,,,,,,,
