Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
FrankDaSpeed,36,39,42,117,2,,,,,,,
Vantoxify,34,14,28,76,5,,,,,,,
Torment,15,34,25,74,6,,,,,,,
BodaciousKarter,2,4,3,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Auspicion,118,131,146,0,395,337,58,W,8,2,R,
(3-2),0,2,2,4,8,,,,,,,
(5-3),2,0,0,0,2,,,,,,,
Luminescence,126,113,98,0,337,395,-58,L,2,8,R,
nubbles,50,31,36,117,2,,,,,,,
Deakon,31,36,22,89,4,,,,,,,
Evasive,29,20,19,68,7,,,,,,,
USK,14,26,18,58,8,,,,,,,
landon,2,0,3,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/11/22,XII,8,Le,2,38,,,,,,,
XII vs Le (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Istior,39,44,41,124,1,,,,,,,
byron,24,34,30,88,3,,,,,,,
Balou,24,30,33,87,4,,,,,,,
Master67x,20,37,21,78,6,,,,,,,
Ouloul,2,3,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
The Twelve,109,148,128,0,385,347,38,W,8,2,R,
(5-3),0,2,2,4,8,,,,,,,
(5-4),2,0,0,0,2,,,,,,,
Luminescence,135,96,116,0,347,385,-38,L,2,8,R,
Mike,38,22,45,105,2,,,,,,,
USK,29,23,32,84,5,,,,,,,
nubbly,37,20,21,78,6,,,,,,,
Deakon,29,30,17,76,8,,,,,,,
