Teams,Abv,Pts,40,40,,,Matches,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/11/21,Ap,8,airy,2,24,,,,,,,
Ap vs airy (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Thunder,40,33,36,109,1,,,,,,,
Camelot,44,26,31,101,3,,,,,,,
Batcake,28,25,30,83,5,,,,,,,
swig,29,16,32,77,6,,,,,,,
Kaizo,3,2,3,8,10,,,,,,,
Apocalypse Emerald,144,102,132,0,378,,,,,,,
(2-1),2,0,2,4,8,,,,,,,
(2-1),0,2,0,0,2,,,,,,,
airy,100,142,112,0,354,,,,,,,
Xander,30,46,32,108,2,,,,,,,
jack,35,31,20,86,4,,,,,,,
ruby,20,14,40,74,7,,,,,,,
Quinn (4) / Feysal (8),14,49,19,82,8,,,,,,,
Jazz,1,2,1,4,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/11/21,Se,8,Av,2,20,,,,,,,
Se vs Av (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Larry David,24,45,42,111,2,,,,,,,
Vincent B,32,44,16,92,3,,,,,,,
Shawn,43,21,19,83,6,,,,,,,
Edison,30,30,18,78,7,,,,,,,
Orange,2,4,1,7,9,,,,,,,
Superbia,131,144,96,0,371,,,,,,,
(2-0),2,2,0,4,8,,,,,,,
(1-3),0,0,2,0,2,,,,,,,
Avail,113,100,148,-10,351,,,,,,,
Kevin,36,31,46,113,1,,,,,,,
Ballin,31,30,29,90,4,,,,,,,
Olifre,34,28,24,86,5,,,,,,,
Lucid,10,11,46,67,8,,,,,,,
Joris,2,0,3,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/18/21,[L],8,Ap,2,66,,,,,,,
[L] vs Ap (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Zestos,32,33,43,108,1,,,,,,,
taka,23,39,37,99,2,,,,,,,
brody,22,41,33,96,4,,,,,,,
maisie,34,19,26,79,6,,,,,,,
Evan,3,2,2,7,9,,,,,,,
Lightspeed Kitty Cats,114,134,141,0,389,,,,,,,
(1-4),0,2,2,4,8,,,,,,,
(2-2),2,0,0,0,2,,,,,,,
Apocalypse Emerald,130,110,103,-20,323,,,,,,,
Camelot,48,26,24,98,3,,,,,,,
Batcake,34,38,22,94,5,,,,,,,
Thunder,25,28,25,78,7,,,,,,,
swig,22,16,28,66,8,,,,,,,
Donald Trump,1,2,4,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/18/21,D,8,Av,2,22,,,,,,,
D vs Av (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
EmilP,32,30,45,107,1,,,,,,,
Sammeth,27,45,29,101,2,,,,,,,
rusoX,27,21,47,95,5,,,,,,,
RyanUK,18,25,29,72,7,,,,,,,
Shaka,1,4,2,7,9,,,,,,,
Daisy Squad,105,125,152,-10,372,,,,,,,
(2-2),0,2,2,4,8,,,,,,,
(1-4),2,0,0,0,2,,,,,,,
Avail,139,119,92,,350,,,,,,,
Kevin,28,41,28,97,3,,,,,,,
Olifre,41,33,22,96,4,,,,,,,
Paul,32,31,16,79,6,,,,,,,
Lucid,35,14,22,71,8,,,,,,,
Joris,3,0,4,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/18/21,airy,8,[L],2,38,,,,,,,
airy vs [L] (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Quinn,49,31,35,115,1,,,,,,,
Xander,34,48,26,108,2,,,,,,,
luke the toolbox,22,22,34,78,6,,,,,,,
Feysal,28,29,20,77,7,,,,,,,
Jazz,3,3,1,7,9,,,,,,,
airy,136,133,116,0,385,,,,,,,
(3-1),2,2,0,4,8,,,,,,,
(1-5),0,0,2,0,2,,,,,,,
Lightspeed Kitty Cats,108,111,128,0,347,,,,,,,
maisie,20,34,43,97,3,,,,,,,
Declan,34,38,17,89,4,,,,,,,
taka,37,12,30,79,5,,,,,,,
Zestos,16,26,35,77,7,,,,,,,
Evan,1,1,3,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/18/21,Se,10,D,0,112,,,,,,,
Se vs D (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Shawn,43,50,32,125,1,,,,,,,
KasperUS,38,25,41,104,2,,,,,,,
Vincent B,22,36,33,91,3,,,,,,,
Revan,28,30,15,73,7,,,,,,,
Maq,2,1,21,24,9,,,,,,,
Superbia,133,142,142,0,417,,,,,,,
(3-2),2,2,2,4,10,,,,,,,
(2-3),0,0,0,0,0,,,,,,,
Daisy Squad,111,102,102,-10,305,,,,,,,
EmilP,40,32,12,84,4,,,,,,,
Sammeh,27,20,32,79,5,,,,,,,
Kiwi,14,33,29,76,6,,,,,,,
Luke GB (8) / British (4),28,14,24,66,8,,,,,,,
Merc,2,3,5,10,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/19/21,H,8,Se,2,36,,,,,,,
H vs Se (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Hizumi,31,31,35,97,3,,,,,,,
yoshikz,30,37,30,97,3,,,,,,,
Prin,28,17,52,97,3,,,,,,,
Hiduke,33,25,30,88,6,,,,,,,
Roast,2,1,2,5,10,,,,,,,
HEAVEN,124,111,149,0,384,,,,,,,
(3-1),2,0,2,4,8,,,,,,,
(3-3),0,2,0,0,2,,,,,,,
Superbia,120,133,95,0,348,,,,,,,
Revise,33,43,24,100,1,,,,,,,
Shawn,37,38,23,98,2,,,,,,,
Maq,25,19,28,72,7,,,,,,,
Vincent B,23,30,18,71,8,,,,,,,
Serena,2,3,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/19/21,airy,8,H,2,31,,,,,,,
airy vs H (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
jack,33,52,29,114,1,,,,,,,
Kasperinos,30,29,35,94,2,,,,,,,
Quinn,42,31,18,91,5,,,,,,,
Xander,19,25,31,75,7,,,,,,,
Jazz,3,1,1,5,10,,,,,,,
airy,127,138,114,0,379,,,,,,,
(4-1),2,2,0,4,8,,,,,,,
(3-2),0,0,2,0,2,,,,,,,
HEAVEN,117,106,130,-5,348,,,,,,,
Hizumi,38,18,37,93,3,,,,,,,
Az,28,36,28,92,4,,,,,,,
yoshikz,31,25,35,91,5,,,,,,,
Hiduke,19,24,27,70,8,,,,,,,
Prin,1,3,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/21,Av,10,H,0,52,,,,,,,
Av vs H (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Cheron,47,43,29,119,1,,,,,,,
Kevin,43,33,37,113,2,,,,,,,
Olifre,31,24,36,91,5,,,,,,,
Lucid,18,29,19,66,7,,,,,,,
Joris,1,0,2,3,10,,,,,,,
Avail,140,129,123,0,392,,,,,,,
(2-4),2,2,2,4,10,,,,,,,
(3-3),0,0,0,0,0,,,,,,,
HEAVEN,104,115,121,0,340,,,,,,,
hiduke,38,29,30,97,3,,,,,,,
Az,21,41,34,96,4,,,,,,,
yoshikz,16,21,37,74,6,,,,,,,
Prin,26,20,18,64,8,,,,,,,
Roast,3,4,2,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/28/21,Jx,10,Ap,0,79,,,,,,,
Jx vs Ap (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Jeff,50,47,31,128,,,,,,,,
mura,31,45,22,98,,,,,,,,
Mike,24,45,28,97,,,,,,,,
frozen,34,17,41,92,,,,,,,,
Sam,0,2,1,3,,,,,,,,
Jx.,139,156,123,-25,393,,,,,,,
(5-0),2,2,2,4,10,,,,,,,
(2-3),0,0,0,0,0,,,,,,,
Apocalypse Emerald,105,88,121,0,314,,,,,,,
Camelot,30,22,33,85,,,,,,,,
Batcake,27,23,34,84,,,,,,,,
swig,28,23,23,74,,,,,,,,
Chillz,16,18,28,62,,,,,,,,
Thunder,4,2,3,9,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
12/30/21,Se,9,[L],1,42,,,,,,,
Se vs [L] (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Ethos,51,28,48,127,1,,,,,,,
Shawn,35,43,28,106,3,,,,,,,
Revise,21,37,27,85,5,,,,,,,
Edison,27,11,25,63,8,,,,,,,
Serena,1,3,2,6,9,,,,,,,
Superbia,135,122,130,0,387,,,,,,,
(4-3),2,1,2,4,9,,,,,,,
(1-6),0,1,0,0,1,,,,,,,
Lightspeed Kitty Cats,109,122,114,0,345,,,,,,,
maisie,30,29,48,107,2,,,,,,,
brody,30,38,20,88,4,,,,,,,
taka,26,29,20,75,6,,,,,,,
Zestos,20,25,24,69,7,,,,,,,
Evan,3,1,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/2/22,H,10,Ap,0,98,,,,,,,
H vs Ap (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Az,44,41,41,126,1,,,,,,,
yoshikz,36,37,31,104,3,,,,,,,
Jan,44,28,20,92,4,,,,,,,
Hizumi,23,26,36,85,5,,,,,,,
Roast,2,2,4,8,9,,,,,,,
HEAVEN,149,134,132,0,415,,,,,,,
(4-3),2,2,2,4,10,,,,,,,
(2-4),0,0,0,0,0,,,,,,,
Apocalypse Emerald,95,110,112,0,317,,,,,,,
Thunder,33,33,47,113,2,,,,,,,
swig,28,34,10,72,6,,,,,,,
Camelot,19,21,30,70,7,,,,,,,
Chillz,13,20,25,58,8,,,,,,,
Kaizo,2,2,0,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/2/22,Av,8,Ap,2,48,,,,,,,
Av vs Ap (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Kevin,32,40,35,107,1,,,,,,,
Olifre,41,34,30,105,2,,,,,,,
Cheron,43,26,32,101,3,,,,,,,
Lucid,32,14,28,74,7,,,,,,,
Joris,2,0,1,3,10,,,,,,,
Avail,150,114,126,0,390,,,,,,,
(3-4),2,0,2,4,8,,,,,,,
(2-5),0,2,0,0,2,,,,,,,
Apocalypse Emerald,94,130,118,0,342,,,,,,,
Camelot,23,41,32,96,4,,,,,,,
Thunda,20,28,39,87,5,,,,,,,
Thunder,19,33,31,83,6,,,,,,,
Chillz,30,24,13,67,8,,,,,,,
Kaizo,2,4,3,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/2/22,Jx,10,Av,0,92,,,,,,,
Jx vs Av (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
frozen,36,33,50,119,1,,,,,,,
Jeff,48,22,29,99,2,,,,,,,
Mike,38,26,30,94,3,,,,,,,
mura,19,44,30,93,4,,,,,,,
Sam,3,1,3,7,9,,,,,,,
Jx.,144,126,142,0,412,,,,,,,
(6-0),2,2,2,4,10,,,,,,,
(3-5),0,0,0,0,0,,,,,,,
Avail,100,118,102,0,320,,,,,,,
Cheron,30,23,38,91,5,,,,,,,
Lucid,26,37,25,88,6,,,,,,,
Kevin,22,27,22,71,7,,,,,,,
Olifre,21,28,16,65,8,,,,,,,
Joris,1,3,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/2/22,Jx,8,D,2,66,,,,,,,
Jx vs D (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Jeff,38,36,28,102,2,,,,,,,
mura,26,44,29,99,3,,,,,,,
frozen,26,35,28,89,4,,,,,,,
michael gee,33,20,33,86,6,,,,,,,
Sam,2,0,1,3,10,,,,,,,
Jx.,125,135,119,0,379,,,,,,,
(7-0),2,2,0,4,8,,,,,,,
(2-4),0,0,2,0,2,,,,,,,
Daisy Squad,119,109,125,-40,313,,,,,,,
Kazam,43,35,32,110,1,,,,,,,
EmilP,23,27,38,88,5,,,,,,,
Sammeh,38,26,18,82,7,,,,,,,
avocado,13,17,34,64,8,,,,,,,
Shaka,2,4,3,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/6/22,airy,8,D,2,22,,,,,,,
airy vs D (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Kasperinos,37,43,27,107,2,,,,,,,
Xander,43,27,28,98,3,,,,,,,
ruby,30,35,30,95,4,,,,,,,
Feysal,26,24,12,62,8,,,,,,,
Jazz,0,2,3,5,9,,,,,,,
airy,136,131,100,0,367,,,,,,,
(5-1),2,2,0,4,8,,,,,,,
(2-5),0,0,2,0,2,,,,,,,
Daisy Squad,108,113,144,-20,345,,,,,,,
LukeGB,28,33,47,108,1,,,,,,,
EmilP,32,30,28,90,5,,,,,,,
avocado,21,26,35,82,6,,,,,,,
Kazam,23,22,33,78,7,,,,,,,
Merc,4,2,1,7,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/8/22,H,10,[L],0,94,,,,,,,
H vs [L] (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Az,55,41,51,147,1,,,,,,,
Jan,29,43,38,110,2,,,,,,,
hiduke,24,36,12,72,6,,,,,,,
Hizumi,23,20,27,70,7,,,,,,,
Roast,2,1,1,4,10,,,,,,,
HEAVEN,133,141,129,0,403,,,,,,,
(5-3),2,2,2,4,10,,,,,,,
(1-7),0,0,0,0,0,,,,,,,
Lightspeed Kitty Cats,111,103,115,-20,309,,,,,,,
brody,27,31,40,98,3,,,,,,,
taka,34,20,28,82,4,,,,,,,
Quandale Dingle,22,27,24,73,5,,,,,,,
maisie,26,22,20,68,8,,,,,,,
Evan,2,3,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/8/22,Se,8,airy,2,22,,,,,,,
Se vs airy (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Revan,57,33,20,110,1,,,,,,,
Shawn,33,18,43,94,3,,,,,,,
Revise,26,31,29,86,5,,,,,,,
Edison,16,27,37,80,8,,,,,,,
Maq,2,2,3,7,9,,,,,,,
Superbia,134,111,132,0,377,,,,,,,
(5-3),2,0,2,4,8,,,,,,,
(5-2),0,2,0,0,2,,,,,,,
airy,110,133,112,0,355,,,,,,,
Quinn,29,40,29,98,2,,,,,,,
Xander,22,36,29,87,4,,,,,,,
Kasperinos,28,28,27,83,6,,,,,,,
jack,29,27,26,82,7,,,,,,,
Boodog9 (4) / Jazz (8),2,2,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
1/8/22,Se,10,Av,0,88,,,,,,,
Se vs Av (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Revise,36,36,36,108,1,,,,,,,
Edison,26,41,35,102,2,,,,,,,
Shawn,34,37,30,101,3,,,,,,,
Revan,34,30,27,91,5,,,,,,,
