Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
Tunes Horizon,134,107,122,0,363,369,-6,L,3,7,R,
KA,44,28,33,105,1,,,,,,,
Jonny,33,27,36,96,2,,,,,,,
Remilia,31,25,35,91,5,,,,,,,
conor,24,26,18,68,7,,,,,,,
JoshNFLD,2,1,0,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/21/2022,RISE,8,Hz,2,38,,,,,,,
RISE v. Hz (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
zyr,38,44,39,121,1,,,,,,,
Alberto,50,42,28,120,2,,,,,,,
Nxvy,22,39,31,92,4,,,,,,,
bodge,13,20,12,45,8,,,,,,,
twingy,2,3,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Rise,125,148,112,0,385,347,38,W,8,2,R,
(1-2),2,2,0,4,8,,,,,,,
(1-3),0,0,2,0,2,,,,,,,
Tunes Horizon,119,96,132,0,347,385,-38,L,2,8,R,
KA,49,33,38,120,2,,,,,,,
conor,26,15,39,80,5,,,,,,,
Remilia,13,22,37,72,6,,,,,,,
Jonny,29,25,16,70,7,,,,,,,
oj,2,1,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/21/2022,Cy,10,Be,0,70,,,,,,,
Cy v. Be (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Alpha,29,37,52,118,1,,,,,,,
Setsumi,35,42,31,108,2,,,,,,,
Cynical,39,33,20,92,4,,,,,,,
Luke,33,17,28,78,7,,,,,,,
Kaden,1,1,3,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Contingency Black,137,130,134,0,401,331,70,W,10,0,R,
(3-0),2,2,2,4,10,,,,,,,
(1-2),0,0,0,0,0,,,,,,,
Berserk II,107,114,110,0,331,401,-70,L,0,10,R,
TaTsuya,21,35,45,101,3,,,,,,,
Ru2,32,24,34,90,5,,,,,,,
FioNa,33,40,16,89,6,,,,,,,
Sinon,18,12,14,44,8,,,,,,,
LockK,3,3,1,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Ez,10,Hz,0,216,,,,,,,
Ez v. Hz (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Soon,34,50,36,120,1,,,,,,,
Blue,30,41,39,110,2,,,,,,,
May,29,32,48,109,3,,,,,,,
Hintz,47,25,34,106,4,,,,,,,
NathanUK,2,1,6,9,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Ez,142,149,163,0,454,238,216,W,10,0,R,
(1-2),2,2,2,4,10,,,,,,,
(1-4),0,0,0,0,0,,,,,,,
Tunes Horizon,102,95,81,-40,238,454,-216,L,0,10,R,
JoshNFLD,28,26,25,79,5,,,,,,,
Jonny,39,10,18,67,6,,,,,,,
End,19,28,18,65,7,,,,,,,
Lebby,14,28,10,52,8,,,,,,,
oj,2,3,10,15,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/2022,Ez,8,V$,2,38,,,,,,,
Ez v. V$ (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Hintz,50,39,45,134,1,,,,,,,
Kato,39,20,32,91,2,,,,,,,
May,25,28,20,73,4,,,,,,,
Bluesharp,20,27,24,71,8,,,,,,,
NathanUK,2,2,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Ez,136,116,123,0,375,337,38,W,8,2,R,
(2-2),2,0,2,4,8,,,,,,,
(2-1),0,2,0,0,2,,,,,,,
Versatile,108,128,121,-20,337,375,-38,L,2,8,R,
Wal00gi,34,33,43,110,2,,,,,,,
JayM,27,30,31,88,5,,,,,,,
Spart,20,40,28,88,6,,,,,,,
Rick,25,23,17,65,7,,,,,,,
Elana,2,2,2,6,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/2022,bt,10,Cy,0,107,,,,,,,
bt v. Cy (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
atama,47,39,39,125,1,,,,,,,
Shumu,33,39,32,104,2,,,,,,,
nago,32,34,26,92,5,,,,,,,
Got,28,36,25,89,6,,,,,,,
KasperJP,0,1,1,2,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Band Together,140,149,123,-5,407,300,107,W,10,0,R,
(2-1),2,2,2,4,10,,,,,,,
(3-1),0,0,0,0,0,,,,,,,
Contingency Black,104,95,121,-20,300,407,-107,L,0,10,R,
Alpha,27,33,36,96,3,,,,,,,
setsumi,33,32,30,95,4,,,,,,,
Wob,28,12,26,66,7,,,,,,,
LukeCAN,12,15,26,53,8,,,,,,,
kaden,4,3,3,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/2022,Fts,8,bt,2,12,,,,,,,
Fts v. bt (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
rxz,34,25,33,92,2,,,,,,,
Jake,29,29,32,90,3,,,,,,,
Mystic Mine,17,34,19,70,7,,,,,,,
Toddy,19,25,23,67,8,,,,,,,
Elbling,13,20,20,53,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Faithless,112,133,127,0,372,360,12,W,8,2,R,
(3-0),0,2,2,4,8,,,,,,,
(2-2),2,0,0,0,2,,,,,,,
Band Together,132,111,117,0,360,372,-12,L,2,8,R,
atama,34,29,52,115,1,,,,,,,
Shumu,35,36,17,88,4,,,,,,,
nago,37,28,20,85,5,,,,,,,
Miya,26,18,28,72,6,,,,,,,
KasperJP,0,0,0,0,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/24/2022,Fts,8,RISE,2,48,,,,,,,
Fts v. RISE (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
BigRaz,24,26,23,73,6,,,,,,,
Jake,14,19,14,47,8,,,,,,,
Sky9,16,21,35,72,7,,,,,,,
Theodor,29,35,13,77,5,,,,,,,
Toddy,36,32,43,111,1,OP Scr,+/-,WTD,TpF,TpA,Event,
Faithless,119,133,128,0,380,332,48,W,8,2,R,
(4-0),0,2,2,4,8,,,,,,,
(1-3),2,0,0,0,2,,,,,,,
Rise,124,111,117,-20,332,380,-48,L,2,8,R,
Bodge,17,1,26,44,9,,,,,,,
Judge,33,43,29,105,2,,,,,,,
Nxvy,38,31,28,97,3,,,,,,,
zyr,34,28,33,95,4,,,,,,,
Snowy(7)/Volt(5),2,8,1,11,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/2022,bt,10,V$,0,44,,,,,,,
bt v. V$ (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Shumu,40,41,47,128,1,,,,,,,
Got,43,37,35,115,2,,,,,,,
nago,20,34,38,92,4,,,,,,,
Miya,21,11,18,50,8,,,,,,,
KasperJP,4,2,2,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Band Together,123,120,140,-10,383,339,44,W,10,0,R,
(3-2),2,2,2,4,10,,,,,,,
(2-2),0,0,0,0,0,,,,,,,
Versatile,116,119,104,0,339,383,-44,L,0,10,R,
LilyUK,31,42,34,107,3,,,,,,,
smug,31,25,29,85,5,,,,,,,
Jesus,26,31,20,77,6,,,,,,,
Spart,28,19,19,66,7,,,,,,,
