Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
LT,3,3,1,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/4/22,Se,10,D,0,70,,,,,,,
Se vs D (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Shawn,45,24,34,103,1,,,,,,,
Revise,38,41,22,101,3,,,,,,,
Edison,27,37,35,99,4,,,,,,,
Kasperinos,24,36,33,93,5,,,,,,,
Maq,1,2,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Superbia,135,140,126,0,401,331,70,W,10,0,R,
(4-2),2,2,2,4,10,,,,,,,
(3-4),0,0,0,0,0,,,,,,,
Daisy Squad,109,104,118,0,331,401,-70,L,0,10,R,
swig,36,17,50,103,1,,,,,,,
Kevin,31,31,21,83,6,,,,,,,
Sammeh,25,20,31,76,7,,,,,,,
The Funky Slayer,14,34,14,62,8,,,,,,,
MAKI,3,2,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,D,8,XI,2,1,,,,,,,
D vs XI (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
swig,20,43,39,102,1,,,,,,,
JAVO,26,40,32,98,3,,,,,,,
LukeGB,35,24,34,93,4,,,,,,,
Sammeh (8) / The Funky Slayer (4),21,17,33,71,7,,,,,,,
MAKI,2,4,4,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Daisy Squad,104,128,142,-20,354,353,1,W,8,2,R,
(4-4),0,2,2,4,8,,,,,,,
(3-1),2,0,0,0,2,,,,,,,
Lazarus,140,116,102,-5,353,354,-1,L,2,8,R,
barney,36,42,24,102,1,,,,,,,
Fox,46,35,12,93,4,,,,,,,
Xander,45,14,34,93,4,,,,,,,
Feysal,11,25,32,68,8,,,,,,,
Evan,2,0,0,2,2,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,jc,6,IF,4,2,,,,,,,
jc vs IF (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
ornan,36,45,30,111,1,,,,,,,
paul,32,24,37,93,4,,,,,,,
12SUP3EHUM4NHD56,13,32,42,87,5,,,,,,,
yui,26,14,31,71,8,,,,,,,
Luxii,3,2,0,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
perma jc,110,117,140,0,367,365,2,W,6,4,R,
(2-3),0,0,2,4,6,,,,,,,
(2-4),2,2,0,0,4,,,,,,,
Infinite Fusion,134,127,104,0,365,367,-2,L,4,6,R,
Berry,48,25,27,100,2,,,,,,,
kenzo,28,40,32,100,2,,,,,,,
tay,28,34,24,86,6,,,,,,,
vtr,29,26,17,72,7,,,,,,,
UsosloW,1,2,4,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/11/22,D,8,jc,2,32,,,,,,,
D vs jc (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Kevin,43,36,31,110,1,,,,,,,
The Funky Slayer,30,22,47,99,2,,,,,,,
JAVO,20,47,32,99,2,,,,,,,
swig,23,32,15,70,8,,,,,,,
MAKI,2,1,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Daisy Squad,118,138,126,0,382,350,32,W,8,2,R,
(5-4),0,2,2,4,8,,,,,,,
(2-4),2,0,0,0,2,,,,,,,
perma jc,126,106,118,0,350,382,-32,L,2,8,R,
ornan,40,25,32,97,4,,,,,,,
Sharptoothedrat,37,19,32,88,5,,,,,,,
Thunda,37,30,19,86,6,,,,,,,
yui,10,29,32,71,7,,,,,,,
Luxii,2,3,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/12/22,XI,8,IF,2,36,,,,,,,
XI vs IF (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Xander,36,49,20,105,1,,,,,,,
