Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
Pure,128,128,133,-20,369,343,26,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-1),0,0,0,0,0,,,,,,,
MY13,116,116,111,0,343,369,-26,L,0,10,R,
Cormac,29,40,34,103,2,,,,,,,
Ice,44,29,23,96,5,,,,,,,
Kira,16,23,31,70,6,,,,,,,
Fresh,27,22,20,69,7,,,,,,,
Dragonfly99,0,2,3,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/15/2022,M,8,Av,2,40,,,,,,,
M v. Av (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
KennySAX,33,29,52,114,1,,,,,,,
Charge,19,43,33,95,4,,,,,,,
Salz,24,29,38,91,5,,,,,,,
Marc,26,31,15,72,8,,,,,,,
Jzck,1,1,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Melody,103,133,140,-20,356,316,40,W,8,2,R,
(1-0),0,2,2,4,8,,,,,,,
(0-2),2,0,0,0,2,,,,,,,
Avail,141,111,104,-40,316,356,-40,L,2,8,R,
Nash,30,33,37,100,2,,,,,,,
Delis,57,32,10,99,3,,,,,,,
Pascal,21,27,27,75,6,,,,,,,
Jam,30,16,28,74,7,,,,,,,
Ballin,3,3,2,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,MY13,6,M,4,42,,,,,,,
MY13 v. M (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Azn,47,41,26,114,,,,,,,,
Cormac,42,19,38,99,,,,,,,,
Fresh(4)/Lifted(8),32,36,27,95,,,,,,,,
Kira,43,19,21,83,,,,,,,,
Dragonfly99,2,0,4,6,,OP Scr,+/-,WTD,TpF,TpA,Event,
MY13,166,115,116,-20,377,335,42,W,6,4,R,
(1-1),2,0,0,4,6,,,,,,,
(1-1),0,2,2,0,4,,,,,,,
Melody,78,129,128,0,335,377,-42,L,4,6,R,
Charge,24,41,45,110,,,,,,,,
Salz,23,42,40,105,,,,,,,,
Marc,12,26,22,60,,,,,,,,
Kenny(4)/Kiralite(8),17,16,21,54,,,,,,,,
Jzck,2,4,0,6,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,GUN,8,fly,2,8,,,,,,,
GUN v. fly (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
NicoFR,49,43,25,117,1,,,,,,,
Zenon,32,24,41,97,4,,,,,,,
Browks,22,33,37,92,5,,,,,,,
Fatal,21,15,27,63,7,,,,,,,
Sasa,0,0,1,1,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Team Gun,124,115,131,0,370,362,8,W,8,2,R,
(1-0),2,0,2,4,8,,,,,,,
(1-1),0,2,0,0,2,,,,,,,
Butterfly Effect,120,129,113,0,362,370,-8,L,2,8,R,
Salvatore,48,36,30,114,2,,,,,,,
Mystery,32,29,39,100,3,,,,,,,
Alex,21,30,23,74,6,,,,,,,
Razz,15,30,18,63,7,,,,,,,
shawty,4,4,3,11,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/16/2022,UX,8,GUN,2,6,,,,,,,
UX v. GUN (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Zestos,39,39,41,119,1,,,,,,,
xWill,25,22,41,88,4,,,,,,,
alx,25,32,23,80,6,,,,,,,
Ruben,37,23,19,79,7,,,,,,,
Joey,2,1,0,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Unxseen,128,117,124,0,369,363,6,W,8,2,R,
(1-0),2,0,2,4,8,,,,,,,
(1-1),0,2,0,0,2,,,,,,,
Team Gun,116,127,120,0,363,369,-6,L,2,8,R,
Browks,41,33,33,107,2,,,,,,,
Fatal,17,39,33,89,3,,,,,,,
NicoFR,39,28,21,88,4,,,,,,,
Zenon,17,24,29,70,8,,,,,,,
Sasa,2,3,4,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/17/2022,UX,10,Mt,0,110,,,,,,,
UX v. Mt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Zestos,50,39,43,132,1,,,,,,,
xWill,28,31,34,93,2,,,,,,,
Ruben,28,34,27,89,3,,,,,,,
alx,24,29,35,88,5,,,,,,,
Aidlo,3,4,2,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Unxseen,133,137,141,0,411,301,110,W,10,0,R,
(2-0),2,2,2,4,10,,,,,,,
(0-2),0,0,0,0,0,,,,,,,
Mount Olympus,111,107,103,-20,301,411,-110,L,0,10,R,
Zyra,38,27,24,89,3,,,,,,,
broty(8)/Fred(4),14,31,37,82,6,,,,,,,
Skenda,38,19,17,74,7,,,,,,,
Lonie,20,30,23,73,8,,,,,,,
Asuna,1,0,2,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/22,fly,10,MY13,0,46,,,,,,,
fly vs MY13 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Salvatore,46,44,44,134,1,,,,,,,
cross,19,31,43,93,3,,,,,,,
Razz,47,32,12,91,4,,,,,,,
Alex,13,27,26,66,8,,,,,,,
Kim,1,2,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Butterfly Effect,126,136,127,0,389,343,46,W,10,0,R,
(2-1),2,2,2,4,10,,,,,,,
(1-2),0,0,0,0,0,,,,,,,
MY13,118,108,117,0,343,389,-46,L,0,10,R,
Cormac,37,34,28,99,2,,,,,,,
Kira,36,28,23,87,5,,,,,,,
Fresh,22,30,30,82,6,,,,,,,
Azn,20,14,34,68,7,,,,,,,
Dragonfly99,3,2,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/22,GUN,6,Mt,4,4,,,,,,,
GUN vs Mt (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Fatal,49,25,25,99,,,,,,,,
Zenon,31,38,27,96,,,,,,,,
Browks,30,22,36,88,,,,,,,,
NicoFR,13,29,30,72,,,,,,,,
Sasa,3,3,2,8,,OP Scr,+/-,WTD,TpF,TpA,Event,
Team Gun,126,117,120,0,363,359,4,W,6,4,R,
(2-1),2,0,0,4,6,,,,,,,
(0-3),0,2,2,0,4,,,,,,,
Mount Olympus,118,127,124,-10,359,363,-4,L,4,6,R,
Lonie,40,42,25,107,,,,,,,,
Fred,34,33,36,103,,,,,,,,
Skenda,19,22,44,85,,,,,,,,
Zyra,24,29,17,70,,,,,,,,
Asuna,1,1,2,4,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/22,P,8,M,2,40,,,,,,,
P vs M (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Saky,33,54,32,119,1,,,,,,,
Yasu,37,37,45,119,1,,,,,,,
Fusion,16,27,43,86,6,,,,,,,
Mio,12,24,18,54,7,,,,,,,
Mephisto,1,6,1,8,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Pure,99,148,139,0,386,346,40,W,8,2,R,
(3-0),0,2,2,4,8,,,,,,,
(1-2),2,0,0,0,2,,,,,,,
Melody,145,96,105,0,346,386,-40,L,2,8,R,
Salz,52,24,25,101,3,,,,,,,
Charge,41,16,30,87,4,,,,,,,
Fixi,32,28,27,87,4,,,,,,,
Marc,17,22,20,59,8,,,,,,,
Jzck,3,6,3,12,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/22,Mt,6,P,4,3,,,,,,,
Mt vs P (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Fred,37,44,50,131,1,,,,,,,
Lonie,38,32,22,92,3,,,,,,,
Zyra,21,34,20,75,6,,,,,,,
Skenda,18,17,24,59,8,,,,,,,
Asuna,2,3,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Mount Olympus,116,130,119,0,365,362,3,W,6,4,R,
(1-3),0,2,0,4,6,,,,,,,
(3-1),2,0,2,0,4,,,,,,,
Pure,128,114,125,-5,362,365,-3,L,4,6,R,
Saky,45,35,42,122,2,,,,,,,
Yasu,31,30,30,91,4,,,,,,,
Fusion,17,37,36,90,5,,,,,,,
Mio,33,11,16,60,7,,,,,,,
Mephisto,2,1,1,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/22/22,Av,8,MY13,2,22,,,,,,,
Av vs MY13 (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Pascal,13,49,49,111,2,,,,,,,
Ballin,34,31,32,97,3,,,,,,,
Jam,31,32,34,97,3,,,,,,,
Nash,26,20,22,68,7,,,,,,,
Rahul,1,2,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Avail,105,134,138,0,377,355,22,W,8,2,R,
(1-2),0,2,2,4,8,,,,,,,
(1-3),2,0,0,0,2,,,,,,,
MY13,139,110,106,0,355,377,-22,L,2,8,R,
Cormac,47,31,40,118,1,,,,,,,
Fresh,40,24,20,84,5,,,,,,,
Kira,29,23,25,77,6,,,,,,,
Azn,20,30,18,68,7,,,,,,,
Dragonfly99,3,2,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/22,UX,8,M,2,26,,,,,,,
UX vs M (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Zestos,49,42,49,140,1,,,,,,,
Ruben,27,21,37,85,4,,,,,,,
xWill,21,34,26,81,5,,,,,,,
Joey,31,15,20,66,8,,,,,,,
Aidlo,3,2,2,7,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Unxseen,131,114,134,0,379,353,26,W,8,2,R,
(3-0),2,0,2,4,8,,,,,,,
(1-3),0,2,0,0,2,,,,,,,
Melody,113,130,110,0,353,379,-26,L,2,8,R,
Charge,35,30,33,98,2,,,,,,,
Salz,30,37,25,92,3,,,,,,,
Kiralte,23,34,22,79,6,,,,,,,
Fixi,24,27,21,72,7,,,,,,,
Jzck,1,2,9,12,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/23/22,GUN,10,Av,0,68,,,,,,,
GUN vs Av (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Zenon,21,47,40,108,1,,,,,,,
Nico,50,36,16,102,2,,,,,,,
Browks,34,20,46,100,3,,,,,,,
Baore,25,31,40,96,5,,,,,,,
Sasa,1,2,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Team Gun,131,136,143,-20,390,322,68,W,10,0,R,
(3-1),2,2,2,4,10,,,,,,,
(1-3),0,0,0,0,0,,,,,,,
Avail,113,108,101,0,322,390,-68,L,0,10,R,
Nash,45,32,20,97,4,,,,,,,
Pascal,29,29,34,92,6,,,,,,,
JAM,16,24,30,70,7,,,,,,,
Ballin,20,21,12,53,8,,,,,,,
Noob,3,2,5,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/24/22,fly,8,UX,2,90,,,,,,,
fly vs UX (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Sal,53,48,45,146,1,,,,,,,
Mystery (11) / Galla (1),31,34,23,88,3,,,,,,,
Alex,28,34,23,85,4,,,,,,,
Razz,30,28,24,82,6,,,,,,,
Solem,2,2,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Butterfly Effect,144,146,117,0,407,317,90,W,8,2,R,
(3-1),2,2,0,4,8,,,,,,,
(3-1),0,0,2,0,2,,,,,,,
Unxseen,100,98,119,0,317,407,-90,L,2,8,R,
Zestos,28,32,35,95,2,,,,,,,
xWill,36,10,37,83,5,,,,,,,
Nlaw,13,30,24,67,7,,,,,,,
alx,21,24,21,66,8,,,,,,,
Aidlo,2,2,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/28/22,fly,8,M,2,44,,,,,,,
fly vs M (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Galla,49,21,35,105,2,,,,,,,
Sal,35,45,15,95,3,,,,,,,
Razz,16,30,44,90,4,,,,,,,
cross,34,21,24,79,6,,,,,,,
Kim,1,3,11,15,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Butterfly Effect,135,120,129,0,384,340,44,W,8,2,R,
(4-1),2,0,2,4,8,,,,,,,
(1-4),0,2,0,0,2,,,,,,,
Melody,109,124,107,0,340,384,-44,L,2,8,R,
Kenny,36,27,50,113,1,,,,,,,
Charge,24,39,21,84,5,,,,,,,
Salz,26,29,16,71,7,,,,,,,
Marc,20,28,17,65,8,,,,,,,
Jzck,3,1,3,7,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/29/22,Mt,10,MY13,0,106,,,,,,,
Mt vs MY13 (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
fred,41,43,45,129,1,,,,,,,
Zyra,50,19,46,115,2,,,,,,,
subaza,37,30,25,92,3,,,,,,,
broty (4) / Sayn (8),16,42,22,80,5,,,,,,,
Asuna,1,2,0,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Mount Olympus,145,136,138,0,419,313,106,W,10,0,R,
(2-3),2,2,2,4,10,,,,,,,
(1-4),0,0,0,0,0,,,,,,,
MY13,99,108,106,0,313,419,-106,L,0,10,R,
Fresh,31,25,27,83,4,,,,,,,
Cormac,19,20,38,77,6,,,,,,,
Azn,18,30,27,75,7,,,,,,,
Ice,28,31,10,69,8,,,,,,,
Dragonfly99 (4) / skin (8),3,2,4,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/31/22,Mt,6,Av,4,18,,,,,,,
Mt vs Av,GP1,GP2,GP3,Total,Place,,,,,,,
Hisa,29,23,55,107,2,,,,,,,
Zyra,16,32,42,90,3,,,,,,,
Fred,37,24,26,87,5,,,,,,,
subaza,26,25,24,75,8,,,,,,,
Deano,1,3,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Mount Olympus,109,107,149,0,365,347,18,W,6,4,R,
(3-3),0,0,2,4,6,,,,,,,
(1-4),2,2,0,0,4,,,,,,,
Avail,135,137,95,-20,347,365,-18,L,4,6,R,
Delis,43,36,34,113,1,,,,,,,
Nikos,34,34,21,89,4,,,,,,,
Nash,37,20,24,81,6,,,,,,,
Jam,18,46,14,78,7,,,,,,,
Pascal,3,1,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/22,fly,8,P,2,26,,,,,,,
fly vs P (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Razz,30,50,34,114,1,,,,,,,
Salvatore,35,41,31,107,2,,,,,,,
BLANCO,22,32,33,87,5,,,,,,,
cross,13,19,27,59,8,,,,,,,
shawty,3,2,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Butterfly Effect,103,144,127,0,374,348,26,W,8,2,R,
(5-1),0,2,2,4,8,,,,,,,
(3-2),2,0,0,0,2,,,,,,,
Pure,141,100,117,-10,348,374,-26,L,2,8,R,
mkw player71,32,24,47,103,3,,,,,,,
Mio,46,24,31,101,4,,,,,,,
saky,26,36,22,84,6,,,,,,,
Fusion,36,14,15,65,7,,,,,,,
Bboy02,1,2,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/22,P,10,GUN,0,64,,,,,,,
P vs GUN (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Yasu,50,33,38,121,1,,,,,,,
Mio,32,26,42,100,2,,,,,,,
Saky,28,29,29,86,5,,,,,,,
Fusion,26,35,20,81,7,,,,,,,
Bboy02,2,4,4,10,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Pure,138,127,133,0,398,334,64,W,10,0,R,
(4-2),2,2,2,4,10,,,,,,,
(3-2),0,0,0,0,0,,,,,,,
Team Gun,106,117,111,0,334,398,-64,L,0,10,R,
Zenon,29,35,29,93,3,,,,,,,
Fatal,26,39,26,91,4,,,,,,,
Akiyo,30,28,26,84,6,,,,,,,
Browks,19,15,28,62,8,,,,,,,
Sasa,2,0,2,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/1/22,GUN,8,M,2,7,,,,,,,
GUN vs M (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Fatal,47,48,35,130,1,,,,,,,
Nico,29,35,42,106,2,,,,,,,
Zenon,27,17,23,67,6,,,,,,,
Browks,24,19,24,67,6,,,,,,,
Sasa,2,3,1,6,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Team Gun,129,102,125,-20,356,349,7,W,8,2,R,
(4-2),2,0,2,4,8,,,,,,,
(1-5),0,2,0,0,2,,,,,,,
Melody,115,122,117,-5,349,356,-7,L,2,8,R,
Kiralte,31,39,34,104,3,,,,,,,
Charge,36,34,14,84,4,,,,,,,
Marc,24,26,33,83,5,,,,,,,
Kenny (10) / Salz (2),22,22,35,79,8,,,,,,,
Jzck,2,1,1,4,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/1/22,UX,8,GUN,2,6,,,,,,,
UX vs GUN (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Zestos,38,27,35,100,1,,,,,,,
xWill,32,39,28,99,2,,,,,,,
Ruben,18,47,23,88,5,,,,,,,
Nlaw,19,21,35,75,8,,,,,,,
Aidlo,2,3,2,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Unxseen,109,137,123,0,369,363,6,W,8,2,R,
(4-1),0,2,2,4,8,,,,,,,
(4-3),2,0,0,0,2,,,,,,,
Team Gun,135,107,121,0,363,369,-6,L,2,8,R,
Fatal,37,26,31,94,3,,,,,,,
NicoFR,37,42,13,92,4,,,,,,,
Zenon,27,22,38,87,6,,,,,,,
Browks,32,16,37,85,7,,,,,,,
Sasa,2,1,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,fly,8,Mt,2,13,,,,,,,
fly vs Mt (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Alex,30,31,34,95,2,,,,,,,
Razz,23,33,39,95,2,,,,,,,
Sal,24,38,22,84,6,,,,,,,
cross,14,22,45,81,7,,,,,,,
shawty,1,2,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Butterfly Effect,92,126,142,0,360,347,13,W,8,2,R,
(6-1),0,2,2,4,8,,,,,,,
(3-4),2,0,0,0,2,,,,,,,
Mount Olympus,152,118,102,-25,347,360,-13,L,2,8,R,
Fred,34,33,35,102,1,,,,,,,
Lonie,36,28,31,95,2,,,,,,,
Zyra,48,32,12,92,5,,,,,,,
broty,31,23,22,76,8,,,,,,,
Asuna,3,2,2,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,MY13,10,UX,0,58,,,,,,,
MY13 vs UX (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Azn,36,39,39,114,2,,,,,,,
Cormac,38,35,25,98,3,,,,,,,
Fresh,23,38,36,97,4,,,,,,,
skin,26,22,32,80,5,,,,,,,
Sprixy,2,3,1,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
MY13,125,137,133,0,395,337,58,W,10,0,R,
(2-4),2,2,2,4,10,,,,,,,
(4-2),0,0,0,0,0,,,,,,,
Unxseen,119,107,111,0,337,395,-58,L,0,10,R,
Zestos,37,35,50,122,1,,,,,,,
onyx,32,19,19,70,6,,,,,,,
xWill,23,31,16,70,6,,,,,,,
alx,25,21,23,69,8,,,,,,,
Joey,2,1,3,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,MY13,8,M,2,56,,,,,,,
MY13 vs M (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Cormac,41,43,25,109,2,,,,,,,
Fresh,41,32,30,103,4,,,,,,,
Azn,28,28,36,92,5,,,,,,,
skin,32,28,18,78,6,,,,,,,
Sprixy,1,0,1,2,10,OP Scr,+/-,WTD,TpF,TpA,Event,
MY13,143,131,110,0,384,328,56,W,8,2,R,
(3-4),2,2,0,4,8,,,,,,,
(1-6),0,0,2,0,2,,,,,,,
Melody,101,113,134,-20,328,384,-56,L,2,8,R,
Kiralte,17,46,51,114,1,,,,,,,
Marc,34,36,34,104,3,,,,,,,
Fixi,23,17,24,64,7,,,,,,,
Salz,24,10,22,56,8,,,,,,,
Daviid,3,4,3,10,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,Av,10,UX,0,90,,,,,,,
Av vs Ux (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Aurora,46,47,35,128,1,,,,,,,
JAM,35,28,50,113,2,,,,,,,
Delis,26,38,33,97,4,,,,,,,
Nash,28,16,20,64,7,,,,,,,
Ballin,3,4,2,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Avail,138,133,140,0,411,321,90,W,10,0,R,
(2-4),2,2,2,4,10,,,,,,,
(4-3),0,0,0,0,0,,,,,,,
Unxseen,106,111,104,0,321,411,-90,L,0,10,R,
Zesti,36,38,31,105,3,,,,,,,
xWill,24,32,22,78,5,,,,,,,
Joey,20,28,23,71,6,,,,,,,
Ruben,25,13,26,64,7,,,,,,,
Aidlo,1,0,2,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,P,6,Av,4,20,,,,,,,
P vs Av (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Yasu,26,52,34,112,1,,,,,,,
Zn,34,23,43,100,2,,,,,,,
Mio,29,25,34,88,5,,,,,,,
Saky,26,15,30,71,8,,,,,,,
Bboy02,0,3,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Pure,115,118,143,0,376,356,20,W,6,4,R,
(5-2),0,0,2,4,6,,,,,,,
(2-5),2,2,0,0,4,,,,,,,
Avail,129,126,101,0,356,376,-20,L,4,6,R,
Jam,39,36,17,92,3,,,,,,,
Nash,37,32,23,92,3,,,,,,,
Malone,36,26,23,85,6,,,,,,,
Aurora,13,31,35,79,7,,,,,,,
Ballin,4,1,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,UX,8,P,2,34,,,,,,,
UX vs P (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Zestos,40,38,39,117,1,,,,,,,
xWill,25,46,37,108,2,,,,,,,
Nlaw,32,36,32,100,4,,,,,,,
alx,19,17,19,55,8,,,,,,,
Aidlo,1,0,2,3,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Unxseen,117,137,129,0,383,349,34,W,8,2,R,
(5-3),0,2,2,4,8,,,,,,,
(5-3),2,0,0,0,2,,,,,,,
Pure,127,107,115,0,349,383,-34,L,2,8,R,
Zn,42,24,35,101,3,,,,,,,
Saky,32,30,24,86,5,,,,,,,
Mio,32,24,22,78,6,,,,,,,
mkw player71,18,25,32,75,7,,,,,,,
Bboy02,3,4,2,9,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/11/22,GUN,10,fly,0,96,,,,,,,
GUN vs fly (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Fatal,36,34,43,113,1,,,,,,,
space,28,22,54,104,2,,,,,,,
Browks,30,26,34,90,3,,,,,,,
Nico,23,48,19,90,3,,,,,,,
Sasa,4,1,3,8,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Team Gun,121,131,153,0,405,309,96,W,10,0,R,
(5-3),2,2,2,4,10,,,,,,,
(6-2),0,0,0,0,0,,,,,,,
Butterfly Effect,125,113,91,-20,309,405,-96,L,0,10,R,
Sal,45,29,15,89,5,,,,,,,
Razz,42,24,22,88,6,,,,,,,
Alex (9) / Cross (3),19,27,30,76,7,,,,,,,
Mystery,19,30,23,72,8,,,,,,,
Solem,0,3,1,4,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,Mt,6,M,4,15,,,,,,,
Mt vs M (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
5F,49,45,25,119,1,,,,,,,
Skenda,37,29,38,104,2,,,,,,,
Lonie,19,41,27,87,5,,,,,,,
Zyra,13,28,16,57,8,,,,,,,
Hisa,2,1,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Mount Olympus,120,144,107,0,371,356,15,W,6,4,R,
(4-4),0,2,0,4,6,,,,,,,
(1-7),2,0,2,0,4,,,,,,,
Melody,124,100,137,-5,356,371,-15,L,4,6,R,
Kenny,43,33,27,103,3,,,,,,,
Kiralte,22,24,46,92,4,,,,,,,
Salz,43,17,20,80,6,,,,,,,
Marc,14,23,41,78,7,,,,,,,
